wind_mps,baseline_power_MW,optimized_power_MW,power_change_percent,baseline_root_MNm,optimized_root_MNm,root_reduction_percent,baseline_tip_m,optimized_tip_m,baseline_abs_tip_m,optimized_abs_tip_m,abs_tip_change_m
4.0,0.389969,0.476735,22.24946085458075,14.9725,13.551826,9.488555685423277,4.224554,3.749782,4.224554,3.749782,-0.4747720000000002
5.0,1.346236,1.429834,6.209758170187096,18.87377,17.512971,7.210000969599609,5.144223,4.686905,5.144223,4.686905,-0.4573179999999999
6.0,2.791815,2.875861,3.0104430272063,23.208561,21.907289,5.606862054049801,6.145334,5.705662,6.145334,5.705662,-0.43967199999999984
7.0,4.680585,4.636091,-0.9506076697677668,27.659896,26.095163,5.657045854402346,7.174026,6.654939,7.174026,6.654939,-0.5190869999999999
8.0,6.986763,6.920346,-0.9506118928035656,36.127211,34.083479,5.657043384832573,9.25697,8.587098,9.25697,8.587098,-0.6698720000000016
9.0,9.947949,9.853383,-0.9506080097515635,45.723501,43.136903,5.657042753572178,11.557691,10.721232,11.557691,10.721232,-0.8364589999999996
10.0,13.646021,13.5163,-0.9506141020888093,56.448767,53.255436,5.657042960743489,14.05676,13.03931,14.05676,13.03931,-1.0174500000000002
11.0,16.204078,16.202553,-0.009411211177812184,50.842827,50.421213,0.8292497189426506,12.263463,11.948948,12.263463,11.948948,-0.3145150000000001
12.0,16.203386,16.20595,0.015823853113183795,41.136949,40.595717,1.3156833774911232,9.549471,9.165771,9.549471,9.165771,-0.38370000000000104
13.0,16.203191,16.204948,0.01084354310210145,35.265169,34.673174,1.6786960527539148,7.837259,7.43093,7.837259,7.43093,-0.4063290000000004
14.0,16.203891,16.206209,0.0143052060767479,30.873272,30.251649,2.0134665350663177,6.506504,6.080062,6.506504,6.080062,-0.42644199999999977
15.0,16.202449,16.204608,0.013325146093645657,27.314689,26.677756,2.331833249135667,5.404169,4.965796,5.404169,4.965796,-0.43837299999999946
16.0,16.203674,16.205405,0.010682762440161753,24.322326,23.671667,2.6751512170340987,4.44247,4.010856,4.44247,4.010856,-0.4316139999999997
17.0,16.20278,16.20349,0.004381964082700307,21.72811,21.062601,3.0628941035368475,3.600588,3.154995,3.600588,3.154995,-0.44559300000000013
18.0,16.203418,16.202749,-0.0041287585125449056,19.435438,18.76457,3.4517771094225007,2.826973,2.376363,2.826973,2.376363,-0.4506100000000002
19.0,16.204664,16.202737,-0.011891638111116709,17.373645,16.698749,3.8845964678108733,2.108942,1.653559,2.108942,1.653559,-0.45538299999999987
20.0,16.204193,16.205632,0.008880417556134113,15.496318,14.814733,4.398367405728252,1.435699,0.97897,1.435699,0.97897,-0.45672900000000005
21.0,16.202747,16.202915,0.0010368612186617554,13.775426,13.085008,5.0119538952915095,0.805588,0.334735,0.805588,0.334735,-0.47085299999999997
22.0,16.204741,16.205881,0.00703497822027721,12.191978,11.495571,5.712009979020636,0.215687,-0.260801,0.215687,0.260801,0.045114000000000015
23.0,16.205656,16.204955,-0.004325650254455304,10.719825,10.01217,6.601367093212816,-0.34558,-0.827346,0.34558,0.827346,0.481766
24.0,16.202528,16.203709,0.00728898601500827,9.340164,8.62646,7.641236278078199,-0.87239,-1.363986,0.87239,1.363986,0.4915959999999999
25.0,16.205948,16.206253,0.0018820250441420328,8.051736,7.330506,8.957447189028557,-1.378531,-1.872664,1.378531,1.872664,0.49413300000000016
